scenario,grid_code,week_rank,top_672_coverage
2,1-MV-semiurb--2-sw,2,0.39732142857142855
2,1-MV-semiurb--2-sw,3,0.4583333333333333
2,1-MV-semiurb--2-sw,4,0.47172619047619047
2,1-MV-semiurb--2-sw,5,0.5342261904761905
2,1-MV-semiurb--2-sw,6,0.5610119047619048
2,1-MV-semiurb--2-sw,7,0.59375
2,1-MV-semiurb--2-sw,8,0.6443452380952381
2,1-MV-semiurb--2-sw,9,0.7604166666666666
2,1-MV-semiurb--2-sw,10,0.7976190476190477
2,1-MV-semiurb--2-sw,11,0.8125
2,1-MV-semiurb--2-sw,12,0.8571428571428571
2,1-MV-semiurb--2-sw,13,0.8705357142857143
2,1-MV-semiurb--2-sw,14,0.8809523809523809
2,1-MV-semiurb--2-sw,15,0.9181547619047619
2,1-MV-semiurb--2-sw,16,0.9285714285714286
2,1-MV-semiurb--2-sw,17,0.9434523809523809
2,1-MV-semiurb--2-sw,18,0.9672619047619048
2,1-MV-semiurb--2-sw,19,0.9747023809523809
2,1-MV-semiurb--2-sw,20,0.9776785714285714
2,1-MV-semiurb--2-sw,21,0.9866071428571429
2,1-MV-semiurb--2-sw,22,0.9895833333333334
2,1-MV-semiurb--2-sw,23,0.9910714285714286
2,1-MV-semiurb--2-sw,24,0.9925595238095238
2,1-MV-semiurb--2-sw,25,0.9970238095238095
2,1-MV-semiurb--2-sw,26,0.9985119047619048
2,1-MV-semiurb--2-sw,27,1.0
2,1-MV-semiurb--2-sw,28,1.0
2,1-MV-semiurb--2-sw,29,1.0
2,1-MV-semiurb--2-sw,30,1.0
2,1-MV-semiurb--2-sw,31,1.0
2,1-MV-semiurb--2-sw,32,1.0
2,1-MV-semiurb--2-sw,33,1.0
2,1-MV-semiurb--2-sw,34,1.0
2,1-MV-semiurb--2-sw,35,1.0
2,1-MV-semiurb--2-sw,36,1.0
2,1-MV-semiurb--2-sw,37,1.0
2,1-MV-semiurb--2-sw,38,1.0
2,1-MV-semiurb--2-sw,39,1.0
2,1-MV-semiurb--2-sw,40,1.0
2,1-MV-semiurb--2-sw,41,1.0
2,1-MV-semiurb--2-sw,42,1.0
2,1-MV-semiurb--2-sw,43,1.0
2,1-MV-semiurb--2-sw,44,1.0
2,1-MV-semiurb--2-sw,45,1.0
2,1-MV-semiurb--2-sw,46,1.0
2,1-MV-semiurb--2-sw,47,1.0
2,1-MV-semiurb--2-sw,48,1.0
2,1-MV-semiurb--2-sw,49,1.0
2,1-MV-semiurb--2-sw,50,1.0
2,1-MV-semiurb--2-sw,51,1.0
2,1-MV-semiurb--2-sw,52,1.0
2,1-MV-semiurb--2-sw,53,1.0
